time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16;bp17;bp18;bp19;bp20;bp21;bp22;bp23;bp24;bp25;bp26;bp27;bp28;bp29;bp30;bp31;bp32
3.55;videos/cuts_test/50wtf2.mp4;fallen;(989.14, 538.0);(997.17, 550.81);(995.61, 555.04);(993.84, 559.67);(1002.0, 540.34);(1003.91, 537.14);(1005.92, 534.04);(985.71, 568.46);(1002.08, 532.72);(973.28, 541.17);(980.03, 528.45);(932.62, 579.05);(939.84, 474.19);(858.92, 566.77);(879.17, 447.4);(856.49, 549.86);(849.61, 496.69);(847.15, 540.25);(844.61, 511.37);(863.19, 540.1);(855.95, 515.39);(867.43, 541.1);(857.85, 511.16);(823.12, 548.14);(818.14, 489.65);(750.05, 583.64);(763.01, 545.59);(705.88, 566.37);(655.43, 554.55);(701.44, 557.72);(640.63, 554.05);(663.8, 578.87);(612.2, 572.11)
3.59;videos/cuts_test/50wtf2.mp4;fallen;(988.56, 539.59);(996.6, 551.91);(995.0, 556.25);(993.15, 561.04);(1001.41, 541.51);(1003.36, 538.33);(1005.46, 535.13);(985.14, 569.19);(1001.66, 532.56);(972.58, 542.12);(979.22, 529.59);(932.26, 578.62);(938.98, 473.99);(859.85, 565.91);(878.63, 447.24);(856.32, 548.76);(849.15, 496.76);(845.49, 539.98);(844.26, 511.48);(861.31, 542.11);(855.61, 515.86);(866.9, 543.39);(857.63, 511.49);(822.05, 548.0);(816.45, 489.95);(752.96, 583.07);(761.23, 546.66);(707.06, 565.85);(651.07, 555.18);(702.69, 556.82);(636.71, 555.09);(664.96, 578.54);(606.9, 572.58)
3.63;videos/cuts_test/50wtf2.mp4;fallen;(988.34, 540.83);(996.44, 552.68);(994.82, 557.15);(992.92, 562.08);(1001.32, 542.43);(1003.3, 539.13);(1005.41, 535.81);(984.92, 570.2);(1001.35, 532.45);(972.28, 543.29);(978.72, 530.72);(931.8, 578.91);(938.42, 474.01);(859.91, 565.27);(878.42, 447.16);(856.22, 548.23);(849.0, 497.55);(844.35, 538.14);(843.54, 512.47);(859.8, 542.19);(855.41, 516.98);(858.11, 541.91);(857.28, 512.47);(822.09, 547.83);(816.61, 490.37);(767.81, 577.56);(759.97, 547.46);(706.13, 568.97);(648.8, 555.2);(700.5, 559.5);(634.69, 554.66);(663.86, 584.38);(605.97, 571.77)
3.67;videos/cuts_test/50wtf2.mp4;fallen;(987.9, 541.21);(996.04, 553.0);(994.44, 557.52);(992.54, 562.56);(1000.78, 542.94);(1002.73, 539.57);(1004.78, 536.16);(984.62, 570.89);(1000.8, 532.82);(971.95, 543.73);(978.26, 531.19);(931.37, 578.86);(938.01, 474.72);(862.04, 565.16);(878.06, 447.08);(856.23, 548.95);(848.63, 498.87);(844.97, 540.55);(843.11, 514.13);(859.49, 542.69);(854.79, 518.35);(859.66, 543.39);(856.82, 513.75);(823.31, 547.64);(816.68, 490.72);(772.39, 575.25);(759.57, 547.57);(706.19, 568.86);(648.51, 555.34);(700.46, 559.25);(634.33, 554.85);(663.91, 584.05);(605.69, 571.51)
3.71;videos/cuts_test/50wtf2.mp4;fallen;(988.41, 541.76);(996.53, 553.48);(994.78, 558.07);(992.8, 563.04);(1001.64, 543.66);(1003.58, 540.48);(1005.49, 537.2);(984.59, 571.26);(1001.08, 533.9);(972.47, 544.35);(978.88, 531.89);(931.31, 579.24);(938.17, 475.89);(862.25, 565.41);(877.79, 447.04);(856.93, 549.79);(848.35, 498.91);(845.08, 541.62);(842.79, 514.07);(859.51, 543.42);(854.28, 518.29);(859.49, 546.65);(856.33, 513.67);(823.98, 547.54);(816.9, 491.0);(773.29, 574.13);(759.29, 547.65);(705.22, 568.7);(648.44, 555.12);(699.32, 559.23);(634.25, 554.55);(663.03, 583.78);(605.69, 571.1)
3.75;videos/cuts_test/50wtf2.mp4;fallen;(988.82, 542.45);(997.1, 554.29);(995.18, 559.07);(993.11, 564.07);(1002.32, 544.42);(1004.16, 541.3);(1005.94, 538.05);(984.82, 571.89);(1001.41, 534.65);(972.99, 545.22);(979.38, 532.83);(931.09, 580.02);(938.5, 476.18);(864.43, 566.02);(877.97, 446.66);(859.77, 553.24);(848.8, 498.71);(848.13, 542.75);(843.16, 513.85);(861.14, 543.79);(854.21, 518.02);(863.77, 545.86);(856.26, 513.44);(824.47, 547.81);(817.14, 491.72);(773.01, 573.46);(758.99, 547.62);(703.04, 569.12);(648.58, 555.22);(696.76, 559.72);(634.36, 554.66);(661.32, 584.26);(605.86, 570.87)
3.8;videos/cuts_test/50wtf2.mp4;fallen;(989.27, 543.03);(997.71, 555.14);(995.63, 560.04);(993.46, 565.1);(1003.14, 545.26);(1004.95, 542.19);(1006.67, 538.94);(985.08, 572.55);(1001.85, 535.24);(973.33, 545.81);(979.76, 533.32);(931.04, 580.55);(939.49, 476.47);(864.95, 566.18);(878.98, 446.5);(860.47, 553.66);(849.23, 498.57);(847.91, 542.3);(843.39, 513.79);(860.98, 543.7);(854.21, 517.83);(865.03, 545.33);(856.33, 513.28);(824.87, 547.76);(817.6, 491.76);(773.54, 573.35);(758.96, 547.51);(702.41, 569.28);(648.93, 554.98);(696.03, 559.76);(635.32, 554.27);(660.84, 584.81);(606.04, 570.83)
3.84;videos/cuts_test/50wtf2.mp4;fallen;(990.05, 543.58);(998.55, 555.85);(996.23, 560.79);(993.92, 565.87);(1004.4, 545.86);(1006.24, 542.82);(1007.96, 539.59);(985.65, 572.96);(1002.83, 535.74);(974.06, 546.16);(981.0, 533.76);(931.97, 580.77);(940.62, 476.76);(866.6, 566.27);(880.5, 446.47);(860.61, 553.01);(850.09, 498.48);(849.21, 541.97);(844.19, 513.75);(862.04, 543.27);(855.05, 517.68);(866.27, 544.84);(857.46, 513.05);(825.81, 548.12);(818.54, 492.18);(762.88, 579.14);(759.24, 547.49);(702.83, 569.25);(649.88, 554.88);(696.43, 559.8);(636.03, 554.01);(661.39, 584.83);(606.22, 570.63)
3.88;videos/cuts_test/50wtf2.mp4;fallen;(990.74, 543.96);(999.11, 556.08);(996.7, 560.96);(994.34, 565.98);(1005.06, 546.2);(1006.89, 543.2);(1008.59, 540.0);(986.17, 572.81);(1003.37, 536.03);(974.5, 546.32);(981.66, 534.07);(932.77, 580.84);(941.45, 476.75);(867.71, 566.27);(881.2, 446.45);(860.47, 552.47);(850.66, 498.34);(849.41, 539.93);(844.72, 513.68);(862.77, 542.89);(855.42, 517.63);(866.63, 544.48);(857.94, 513.0);(826.05, 548.52);(819.16, 492.61);(759.46, 582.01);(759.63, 547.41);(703.1, 569.18);(650.43, 554.61);(696.94, 559.79);(636.47, 553.68);(661.66, 584.86);(606.28, 570.31)
3.92;videos/cuts_test/50wtf2.mp4;fallen;(991.21, 543.94);(999.4, 556.13);(996.93, 561.0);(994.54, 565.98);(1005.6, 546.32);(1007.51, 543.32);(1009.27, 540.12);(986.39, 572.68);(1004.06, 535.96);(974.9, 546.09);(982.07, 533.88);(933.52, 580.68);(941.74, 476.68);(870.39, 567.85);(881.76, 446.42);(860.99, 552.03);(851.12, 498.26);(850.24, 539.85);(845.42, 513.54);(863.39, 542.7);(855.77, 517.52);(867.22, 544.1);(858.28, 512.9);(826.86, 548.48);(819.84, 492.64);(759.6, 582.54);(760.24, 547.03);(704.55, 569.11);(651.05, 554.35);(697.99, 559.73);(637.03, 553.39);(663.61, 584.89);(606.42, 570.14)
3.96;videos/cuts_test/50wtf2.mp4;fallen;(991.36, 543.7);(999.51, 555.85);(997.04, 560.69);(994.66, 565.66);(1005.81, 546.07);(1007.77, 543.05);(1009.55, 539.88);(986.46, 572.47);(1004.27, 535.76);(974.99, 545.89);(982.14, 533.65);(933.85, 580.53);(941.96, 476.67);(872.28, 567.97);(882.01, 446.44);(861.34, 551.73);(851.51, 498.2);(850.8, 539.87);(845.88, 513.52);(863.72, 542.46);(856.05, 517.48);(867.45, 543.82);(858.55, 512.85);(827.4, 548.31);(820.24, 492.59);(771.95, 574.82);(760.76, 546.34);(704.65, 568.98);(651.6, 554.16);(698.21, 559.62);(637.58, 553.18);(663.96, 584.84);(606.62, 570.24)
4.0;videos/cuts_test/50wtf2.mp4;fallen;(991.21, 543.54);(999.37, 555.64);(996.94, 560.47);(994.59, 565.43);(1005.57, 545.84);(1007.54, 542.81);(1009.34, 539.63);(986.4, 572.29);(1004.14, 535.59);(974.89, 545.86);(981.96, 533.58);(933.77, 580.48);(942.1, 476.66);(871.93, 567.89);(882.5, 446.55);(861.23, 551.59);(851.58, 498.09);(850.78, 538.83);(845.94, 513.31);(863.74, 542.39);(856.12, 517.29);(867.37, 542.14);(858.59, 512.72);(827.65, 548.06);(820.75, 492.56);(778.86, 571.49);(761.07, 545.68);(704.77, 568.95);(651.72, 554.03);(698.41, 559.6);(637.71, 553.06);(664.04, 584.57);(606.57, 570.23)
4.05;videos/cuts_test/50wtf2.mp4;fallen;(991.12, 543.39);(999.26, 555.48);(996.87, 560.29);(994.53, 565.24);(1005.44, 545.68);(1007.43, 542.64);(1009.27, 539.46);(986.36, 572.15);(1004.15, 535.49);(974.81, 545.74);(981.84, 533.54);(933.93, 580.38);(942.24, 476.7);(873.39, 568.86);(882.91, 446.54);(861.55, 552.24);(851.72, 497.88);(851.24, 539.76);(846.02, 512.94);(863.85, 542.38);(856.16, 517.03);(867.89, 542.89);(858.63, 512.54);(827.89, 547.79);(821.12, 492.44);(777.69, 570.21);(761.23, 545.12);(705.73, 568.87);(651.92, 553.94);(699.37, 559.53);(637.9, 552.96);(665.39, 584.44);(606.67, 570.19)
4.09;videos/cuts_test/50wtf2.mp4;fallen;(991.06, 543.29);(999.19, 555.36);(996.82, 560.15);(994.5, 565.09);(1005.36, 545.58);(1007.39, 542.53);(1009.27, 539.35);(986.33, 572.06);(1004.26, 535.46);(974.74, 545.65);(981.75, 533.48);(934.22, 580.3);(942.34, 476.71);(874.44, 570.11);(883.1, 446.53);(861.94, 552.89);(851.87, 497.68);(851.43, 540.42);(846.12, 512.71);(863.79, 542.42);(856.2, 516.88);(867.77, 543.28);(858.69, 512.41);(828.08, 547.53);(821.29, 492.4);(779.91, 570.01);(761.73, 544.93);(707.66, 568.83);(651.94, 553.87);(701.27, 559.51);(637.9, 552.89);(667.89, 584.38);(606.69, 570.29)
4.13;videos/cuts_test/50wtf2.mp4;fallen;(991.01, 543.23);(999.13, 555.28);(996.78, 560.05);(994.46, 564.98);(1005.28, 545.53);(1007.33, 542.47);(1009.23, 539.29);(986.34, 571.99);(1004.29, 535.4);(974.7, 545.55);(981.68, 533.36);(934.53, 580.24);(942.37, 476.69);(875.56, 570.57);(883.17, 446.52);(862.37, 553.34);(852.0, 497.58);(851.77, 541.1);(846.2, 512.54);(863.92, 542.71);(856.23, 516.81);(868.22, 543.91);(858.75, 512.35);(828.14, 547.2);(821.38, 492.29);(780.56, 569.92);(761.9, 544.83);(708.0, 568.82);(651.94, 553.81);(701.6, 559.49);(637.9, 552.84);(668.35, 584.31);(606.72, 570.26)
4.17;videos/cuts_test/50wtf2.mp4;fallen;(991.01, 543.19);(999.08, 555.22);(996.74, 559.98);(994.43, 564.9);(1005.25, 545.51);(1007.33, 542.44);(1009.25, 539.26);(986.38, 571.93);(1004.4, 535.34);(974.66, 545.48);(981.65, 533.26);(934.83, 580.19);(942.4, 476.68);(876.26, 571.17);(883.18, 446.53);(862.68, 553.93);(852.03, 497.43);(852.06, 543.06);(846.18, 512.33);(864.0, 544.59);(856.22, 516.75);(868.47, 544.65);(858.74, 512.3);(828.43, 547.13);(821.67, 492.26);(765.62, 577.48);(761.91, 544.83);(708.01, 568.76);(651.84, 553.88);(701.61, 559.44);(637.89, 552.81);(668.28, 584.26);(606.78, 570.25)
4.21;videos/cuts_test/50wtf2.mp4;fallen;(990.99, 543.18);(999.04, 555.2);(996.71, 559.96);(994.41, 564.88);(1005.21, 545.48);(1007.29, 542.41);(1009.22, 539.23);(986.37, 571.89);(1004.42, 535.31);(974.64, 545.42);(981.63, 533.18);(934.89, 580.18);(942.38, 476.67);(876.81, 572.19);(883.2, 446.55);(862.76, 554.36);(852.06, 497.39);(852.3, 544.12);(846.19, 512.3);(864.09, 545.6);(856.22, 516.74);(868.61, 545.18);(858.74, 512.28);(828.6, 547.1);(821.93, 492.25);(761.46, 580.13);(761.91, 544.83);(708.1, 568.71);(651.32, 553.98);(701.71, 559.38);(637.41, 552.83);(668.24, 584.23);(606.84, 570.33)
4.25;videos/cuts_test/50wtf2.mp4;fallen;(990.97, 543.14);(999.02, 555.16);(996.7, 559.91);(994.4, 564.82);(1005.22, 545.45);(1007.31, 542.37);(1009.25, 539.19);(986.4, 571.85);(1004.47, 535.25);(974.62, 545.38);(981.6, 533.14);(934.88, 580.19);(942.37, 476.66);(877.24, 572.97);(883.26, 446.56);(862.81, 554.83);(852.06, 497.36);(852.46, 544.95);(846.19, 512.28);(864.17, 546.39);(856.21, 516.7);(868.83, 547.4);(858.72, 512.24);(828.73, 547.09);(822.17, 492.23);(768.48, 574.61);(761.71, 544.83);(707.45, 568.66);(650.77, 554.17);(701.03, 559.33);(636.86, 552.93);(667.15, 584.19);(606.89, 570.47)
4.3;videos/cuts_test/50wtf2.mp4;fallen;(991.4, 543.13);(999.34, 555.13);(996.93, 559.88);(994.6, 564.8);(1005.7, 545.44);(1007.78, 542.35);(1009.69, 539.17);(986.62, 571.84);(1004.78, 535.2);(974.99, 545.32);(982.1, 533.07);(934.85, 580.26);(942.4, 476.67);(877.41, 573.22);(883.31, 446.59);(862.87, 555.35);(852.05, 497.34);(853.79, 545.8);(846.17, 512.25);(866.29, 553.15);(856.2, 516.66);(869.15, 548.75);(858.7, 512.21);(828.88, 547.08);(822.39, 492.21);(775.03, 572.72);(761.64, 544.83);(706.09, 568.66);(650.05, 554.32);(699.51, 559.31);(634.58, 553.02);(665.0, 584.23);(606.93, 570.56)
4.34;videos/cuts_test/50wtf2.mp4;fallen;(991.45, 543.1);(999.41, 555.11);(996.98, 559.85);(994.64, 564.77);(1005.8, 545.42);(1007.9, 542.33);(1009.81, 539.14);(986.64, 571.84);(1004.91, 535.16);(975.06, 545.3);(982.2, 533.03);(934.7, 580.26);(942.42, 476.66);(877.18, 573.1);(883.3, 446.64);(862.85, 555.29);(852.04, 497.32);(853.68, 545.58);(846.15, 512.22);(866.22, 552.39);(856.19, 516.63);(869.21, 548.82);(858.68, 512.17);(828.97, 547.08);(822.51, 492.2);(777.21, 571.83);(761.7, 544.86);(704.58, 568.7);(649.08, 554.49);(697.9, 559.31);(633.55, 553.04);(662.97, 584.34);(606.95, 570.64)
4.38;videos/cuts_test/50wtf2.mp4;fallen;(991.44, 543.09);(999.41, 555.09);(996.99, 559.83);(994.65, 564.75);(1005.83, 545.41);(1007.94, 542.31);(1009.85, 539.13);(986.65, 571.83);(1004.95, 535.13);(975.06, 545.27);(982.18, 533.0);(934.63, 580.27);(942.42, 476.65);(877.14, 573.29);(883.33, 446.64);(862.84, 555.4);(852.04, 497.31);(853.58, 545.6);(846.14, 512.21);(866.88, 553.86);(856.18, 516.6);(869.28, 548.99);(858.67, 512.15);(829.04, 547.07);(822.66, 492.15);(776.69, 571.08);(761.63, 544.87);(703.16, 568.68);(648.03, 554.73);(696.45, 559.26);(632.54, 553.17);(661.29, 584.34);(606.9, 570.78)
4.42;videos/cuts_test/50wtf2.mp4;fallen;(991.44, 543.08);(999.4, 555.1);(996.98, 559.83);(994.65, 564.75);(1005.81, 545.42);(1007.93, 542.31);(1009.84, 539.12);(986.65, 571.85);(1004.97, 535.11);(975.05, 545.24);(982.17, 532.97);(934.44, 580.27);(942.42, 476.64);(877.02, 573.32);(883.33, 446.67);(862.82, 555.41);(852.03, 497.28);(853.5, 545.54);(846.13, 512.2);(867.35, 553.93);(856.17, 516.58);(869.95, 550.72);(858.66, 512.13);(829.13, 547.06);(822.82, 492.11);(776.33, 570.81);(761.6, 544.88);(702.04, 568.68);(647.27, 554.9);(695.37, 559.21);(631.87, 553.19);(660.03, 584.32);(606.86, 570.89)
4.46;videos/cuts_test/50wtf2.mp4;fallen;(991.43, 543.06);(999.39, 555.09);(996.97, 559.82);(994.64, 564.74);(1005.8, 545.41);(1007.92, 542.3);(1009.84, 539.1);(986.64, 571.84);(1004.97, 535.09);(975.04, 545.22);(982.15, 532.94);(934.39, 580.29);(942.41, 476.64);(877.18, 573.36);(883.33, 446.67);(862.82, 555.38);(852.02, 497.24);(853.45, 545.47);(846.12, 512.16);(867.0, 551.94);(856.16, 516.57);(869.92, 550.36);(858.65, 512.11);(829.21, 547.04);(822.99, 492.05);(777.27, 570.58);(761.59, 544.85);(700.59, 568.62);(646.75, 554.96);(693.64, 559.11);(631.31, 553.2);(658.6, 584.31);(606.87, 570.93)
4.5;videos/cuts_test/50wtf2.mp4;fallen;(991.42, 543.06);(999.37, 555.08);(996.96, 559.81);(994.63, 564.73);(1005.8, 545.42);(1007.91, 542.3);(1009.83, 539.1);(986.63, 571.84);(1004.97, 535.07);(975.03, 545.19);(982.14, 532.91);(934.32, 580.31);(942.41, 476.63);(877.12, 573.3);(883.33, 446.71);(862.65, 555.35);(852.02, 497.19);(853.34, 544.36);(846.12, 512.1);(866.69, 550.4);(856.16, 516.52);(869.84, 548.74);(858.65, 512.07);(829.27, 547.05);(823.13, 492.04);(777.21, 570.38);(761.58, 544.82);(700.05, 568.59);(646.59, 554.99);(693.19, 559.06);(631.09, 553.21);(658.11, 584.22);(606.88, 570.93)
4.55;videos/cuts_test/50wtf2.mp4;fallen;(991.41, 543.06);(999.36, 555.08);(996.95, 559.8);(994.62, 564.72);(1005.79, 545.41);(1007.91, 542.29);(1009.82, 539.1);(986.62, 571.84);(1004.97, 534.99);(975.02, 545.16);(982.12, 532.88);(934.29, 580.36);(942.42, 476.63);(876.99, 573.26);(883.33, 446.71);(862.44, 555.18);(852.02, 497.17);(853.2, 543.42);(846.11, 512.09);(866.34, 546.5);(856.17, 516.51);(869.79, 547.24);(858.64, 512.06);(829.32, 547.05);(823.21, 492.04);(777.6, 570.22);(761.55, 544.78);(699.57, 568.47);(646.37, 555.02);(692.67, 558.92);(630.87, 553.21);(657.51, 583.96);(606.7, 570.93)
4.59;videos/cuts_test/50wtf2.mp4;fallen;(991.41, 543.12);(999.36, 555.13);(996.95, 559.85);(994.62, 564.75);(1005.79, 545.46);(1007.91, 542.32);(1009.83, 539.11);(986.65, 571.84);(1004.99, 534.94);(975.01, 545.18);(982.1, 532.86);(934.27, 580.39);(942.43, 476.62);(876.95, 573.29);(883.32, 446.72);(862.44, 555.13);(852.03, 497.15);(853.18, 542.9);(846.13, 512.06);(866.21, 544.82);(856.19, 516.49);(869.99, 548.28);(858.65, 512.04);(829.35, 547.06);(823.25, 492.04);(777.89, 570.12);(761.53, 544.72);(699.38, 568.46);(646.24, 555.05);(692.48, 558.91);(630.76, 553.21);(657.4, 583.95);(606.74, 570.92)
4.63;videos/cuts_test/50wtf2.mp4;fallen;(991.4, 543.12);(999.35, 555.13);(996.94, 559.85);(994.62, 564.74);(1005.79, 545.46);(1007.91, 542.32);(1009.84, 539.11);(986.66, 571.83);(1005.01, 534.83);(975.01, 545.16);(982.1, 532.85);(934.25, 580.45);(942.45, 476.61);(876.93, 573.29);(883.34, 446.72);(862.37, 554.86);(852.03, 497.13);(853.13, 542.33);(846.13, 512.04);(866.11, 543.68);(856.2, 516.48);(869.97, 548.7);(858.65, 512.02);(829.4, 547.06);(823.31, 492.04);(777.95, 569.99);(761.47, 544.67);(699.49, 568.42);(646.15, 555.08);(692.61, 558.88);(630.68, 553.22);(657.58, 583.88);(606.79, 570.91)
4.67;videos/cuts_test/50wtf2.mp4;fallen;(991.4, 543.13);(999.35, 555.13);(996.94, 559.85);(994.62, 564.74);(1005.79, 545.46);(1007.91, 542.32);(1009.84, 539.1);(986.66, 571.83);(1005.03, 534.78);(975.0, 545.15);(982.09, 532.83);(934.17, 580.47);(942.47, 476.61);(876.71, 573.23);(883.35, 446.72);(862.33, 554.71);(852.03, 497.13);(853.06, 542.03);(846.13, 512.03);(866.02, 543.74);(856.19, 516.47);(869.85, 549.5);(858.65, 512.01);(829.42, 547.08);(823.36, 492.04);(778.05, 569.94);(761.54, 544.64);(699.63, 568.41);(646.11, 555.14);(692.78, 558.87);(630.67, 553.23);(657.75, 583.83);(606.76, 570.91)
4.71;videos/cuts_test/50wtf2.mp4;fallen;(991.39, 543.13);(999.34, 555.13);(996.93, 559.85);(994.61, 564.74);(1005.79, 545.46);(1007.92, 542.32);(1009.85, 539.1);(986.67, 571.83);(1005.05, 534.72);(974.99, 545.14);(982.09, 532.82);(934.16, 580.5);(942.47, 476.58);(876.7, 573.22);(883.36, 446.73);(862.3, 554.58);(852.03, 497.11);(853.04, 541.96);(846.14, 512.02);(866.01, 543.84);(856.2, 516.46);(869.83, 550.09);(858.65, 512.0);(829.44, 547.08);(823.37, 492.03);(778.07, 569.79);(761.55, 544.52);(700.1, 568.33);(646.2, 555.15);(693.32, 558.81);(631.13, 553.24);(658.26, 583.58);(607.03, 570.9)
4.75;videos/cuts_test/50wtf2.mp4;fallen;(991.4, 543.16);(999.34, 555.17);(996.93, 559.89);(994.61, 564.77);(1005.79, 545.5);(1007.92, 542.34);(1009.86, 539.11);(986.69, 571.83);(1005.08, 534.72);(974.99, 545.15);(982.08, 532.81);(934.15, 580.52);(942.47, 476.57);(876.67, 573.22);(883.37, 446.73);(862.29, 554.57);(852.03, 497.1);(853.01, 542.68);(846.14, 512.01);(865.99, 544.1);(856.2, 516.45);(869.82, 550.71);(858.65, 511.99);(829.48, 547.11);(823.41, 492.04);(778.26, 569.75);(761.63, 544.47);(701.02, 568.32);(646.31, 555.19);(694.4, 558.81);(631.52, 553.25);(659.13, 583.53);(607.18, 570.89)
4.8;videos/cuts_test/50wtf2.mp4;fallen;(991.38, 543.15);(999.34, 555.17);(996.93, 559.88);(994.61, 564.76);(1005.79, 545.49);(1007.92, 542.33);(1009.86, 539.09);(986.69, 571.83);(1005.11, 534.66);(974.97, 545.14);(982.07, 532.76);(934.17, 580.53);(942.49, 476.56);(876.77, 573.44);(883.37, 446.73);(862.28, 554.56);(852.04, 497.11);(852.99, 543.34);(846.15, 512.0);(865.96, 544.49);(856.21, 516.45);(869.88, 551.39);(858.65, 511.99);(829.49, 547.13);(823.42, 492.05);(778.29, 569.69);(761.71, 544.41);(701.79, 568.28);(646.47, 555.21);(695.35, 558.78);(631.85, 553.28);(659.95, 583.27);(607.31, 570.89)
4.84;videos/cuts_test/50wtf2.mp4;fallen;(991.38, 543.15);(999.34, 555.17);(996.93, 559.88);(994.61, 564.76);(1005.79, 545.49);(1007.92, 542.32);(1009.86, 539.09);(986.7, 571.83);(1005.12, 534.64);(974.97, 545.13);(982.06, 532.75);(934.17, 580.54);(942.5, 476.56);(876.71, 573.43);(883.39, 446.73);(862.25, 554.54);(852.04, 497.1);(852.97, 543.55);(846.15, 512.0);(865.88, 544.58);(856.21, 516.44);(869.85, 551.53);(858.65, 511.99);(829.54, 547.21);(823.45, 492.09);(778.34, 569.66);(761.77, 544.39);(703.62, 568.27);(646.79, 555.28);(697.49, 558.79);(632.28, 553.35);(661.88, 583.15);(607.44, 570.89)
4.88;videos/cuts_test/50wtf2.mp4;fallen;(991.37, 543.15);(999.33, 555.16);(996.92, 559.88);(994.6, 564.75);(1005.78, 545.49);(1007.92, 542.32);(1009.86, 539.09);(986.7, 571.82);(1005.14, 534.63);(974.95, 545.13);(982.05, 532.73);(934.17, 580.55);(942.51, 476.55);(876.69, 573.43);(883.41, 446.73);(862.23, 554.52);(852.04, 497.1);(852.89, 542.91);(846.15, 512.0);(865.8, 544.63);(856.21, 516.45);(869.86, 551.49);(858.65, 511.99);(829.59, 547.25);(823.49, 492.12);(778.34, 569.65);(761.83, 544.38);(705.21, 568.27);(647.11, 555.34);(699.34, 558.8);(632.63, 553.44);(663.56, 583.01);(607.55, 570.88)
0.0;videos/cuts_test/50wtf3.mp4;walk;(188.54, 151.91);(184.08, 139.72);(183.83, 139.52);(183.43, 139.21);(180.65, 139.44);(177.82, 139.03);(174.33, 138.49);(167.08, 141.47);(155.79, 141.18);(185.2, 162.77);(180.79, 163.1);(168.37, 218.37);(103.48, 201.07);(148.84, 300.17);(94.45, 296.85);(157.17, 362.87);(123.86, 377.34);(158.27, 381.77);(124.35, 403.45);(157.94, 382.62);(137.32, 401.0);(158.51, 374.1);(139.79, 394.53);(157.99, 374.72);(114.59, 374.93);(182.16, 484.14);(94.08, 483.75);(219.19, 596.59);(55.61, 596.26);(211.58, 619.19);(41.23, 613.41);(270.72, 611.68);(103.65, 626.26)
0.04;videos/cuts_test/50wtf3.mp4;walk;(194.88, 151.06);(191.28, 139.46);(191.1, 139.38);(190.78, 139.18);(187.61, 138.87);(184.85, 138.35);(181.57, 137.68);(174.72, 141.73);(162.73, 140.69);(191.4, 162.51);(187.42, 162.07);(173.26, 217.1);(106.99, 200.91);(153.47, 297.11);(97.62, 296.03);(165.34, 360.53);(125.14, 377.3);(169.36, 381.54);(128.4, 403.45);(173.4, 380.66);(141.58, 400.96);(165.94, 372.26);(142.6, 394.3);(163.5, 374.76);(121.46, 374.96);(184.39, 483.65);(97.91, 483.25);(220.22, 596.5);(55.63, 594.76);(212.39, 618.95);(41.23, 611.9);(272.2, 614.36);(104.02, 625.7)
0.08;videos/cuts_test/50wtf3.mp4;walk;(205.95, 150.73);(203.08, 139.27);(202.99, 139.24);(202.72, 139.11);(199.16, 138.58);(196.34, 138.01);(192.98, 137.33);(187.19, 141.9);(173.65, 140.33);(201.84, 162.52);(197.22, 162.01);(183.36, 216.7);(116.09, 200.82);(163.9, 296.62);(106.34, 295.97);(178.01, 361.16);(132.33, 377.21);(182.21, 382.81);(136.32, 403.29);(186.42, 380.7);(148.92, 400.83);(183.59, 373.79);(149.4, 394.09);(174.21, 374.78);(132.93, 374.91);(190.89, 483.19);(103.46, 482.52);(221.93, 596.62);(56.18, 591.89);(213.03, 618.85);(41.38, 608.84);(274.02, 617.33);(104.72, 624.95)
0.13;videos/cuts_test/50wtf3.mp4;walk;(215.84, 150.59);(213.09, 139.15);(212.78, 139.12);(212.42, 139.01);(209.47, 138.43);(206.76, 137.86);(203.67, 137.19);(195.76, 141.93);(184.33, 140.07);(211.97, 162.72);(207.21, 162.06);(192.31, 216.44);(126.62, 200.54);(174.6, 296.4);(114.88, 294.89);(191.07, 361.27);(140.23, 377.16);(193.3, 382.75);(143.84, 403.13);(199.15, 380.04);(156.11, 400.67);(195.29, 373.49);(156.85, 393.96);(186.72, 374.84);(144.61, 374.94);(200.34, 483.19);(114.49, 480.94);(224.16, 597.22);(57.63, 588.97);(214.89, 618.64);(42.19, 605.85);(274.67, 619.08);(105.23, 624.78)
0.17;videos/cuts_test/50wtf3.mp4;walk;(225.7, 150.42);(222.57, 138.94);(222.21, 138.91);(221.69, 138.79);(219.39, 138.25);(216.71, 137.68);(213.82, 137.03);(204.28, 141.89);(195.02, 139.97);(221.79, 162.76);(217.32, 162.08);(200.76, 216.21);(138.06, 199.82);(182.42, 296.16);(123.71, 291.53);(201.07, 361.5);(147.51, 376.75);(205.02, 383.11);(150.14, 402.19);(210.3, 379.74);(162.77, 399.87);(205.55, 373.8);(163.95, 393.14);(199.39, 374.93);(159.16, 374.93);(205.38, 483.1);(127.85, 479.76);(224.87, 597.55);(61.42, 586.62);(214.82, 618.62);(45.64, 603.73);(274.22, 618.61);(108.15, 624.38)
